version,date,size_mb,public_note,analysis_phase
2.0.0,2025-04-09,55.9,First build,Core launch
3.0.0,2025-08-19,117.3,No detailed public note,Large package growth
4.0.0,2025-08-26,124.7,No detailed public note,Content/resource growth
6.2.0,2025-11-21,189.1,No detailed public note,Large package growth
6.4.0,2025-11-21,188.2,No detailed public note,Stabilization
6.8.0,2025-12-04,189.1,Minor bug fixed,Stabilization
6.9.0,2025-12-25,189.1,Minor bug fixed,Stabilization
8.1.0,2026-03-09,215.4,"R&D, Sales, Walkway, Auto Miner, two trucks",Tycoon/automation layer
9.0.0,2026-04-22,220.2,Minor fixes; new contents updated,Transition build
9.2.0,2026-05-08,221.1,Store metadata differs by platform,Transition / rollout
10.0.0,2026-07-31,213.1,"Worker system, Shop, Founder Pack, Guide Quest, Cashback",Worker meta + monetization
10.1.0,2026-08-05,213.6,Android: Worker/Shop note; iOS later exposes Secretary/World Map LiveOps,LiveOps-ready current binary
